id,department_name,department_code
1,ภาควิชาวิศวกรรมคอมพิวเตอร์,1040
2,ภาควิชาวิศวกรรมเคมี,1050
3,ภาควิชาวิศวกรรมเครื่องกล,1060
4,ภาควิชาวิศวกรรมโทรคมนาคม,1070
5,ภาควิชาวิศวกรรมไฟฟ้า,1080
6,ภาควิชาวิศวกรรมโยธา,1090
7,ภาควิชาวิศวกรรมอาหาร,1120
8,ภาควิชาวิศวกรรมอิเล็กทรอนิกส์,1130
9,ภาควิชาวิศวกรรมอุตสาหการ,1160
10,ส่วนสนับสนุนวิชาการ,1170
11,ภาควิชาวิศวกรรมการวัดและควบคุม,1280
12,ภาควิชาวิศวกรรมชีวการแพทย์,1290
13,ศูนย์พัฒนานวัตกรรมและบริการทางวิศวกรรม,1300
17,ผู้เกษียณอายุ,99999
15,งานบริหารงานวิจัย,1999
16,ภาควิชาวิศวกรรมเกษตร,1030
